Year,Col_PLASMID,IncB_PLASMID,IncC_PLASMID,IncFIA_PLASMID,IncFIB_PLASMID,IncFII_PLASMID,IncI_PLASMID,IncN_PLASMID,IncQ_PLASMID,IncX_PLASMID,IncY_PLASMID,aac_AMR,aap_VIR,amp_AMR,ant_AMR,aph_AMR,arr_AMR,ast_VIR,blaCMY_AMR,blaCTX-M-14_AMR,blaCTX-M-15_AMR,blaCTX-M-27_AMR,blaCTX-M_AMR,blaKPC_AMR,blaOXA_AMR,blaTEM_AMR,cap_VIR,cat_AMR,cml_AMR,cva_VIR,dfr_AMR,emr_STRESS,erm_AMR,fde_VIR,glp_AMR,gyr_AMR,ibe_VIR,iha_VIR,ire_VIR,iro_VIR,iss_VIR,iuc_VIR,iut_VIR,mch_VIR,mdt_AMR,mer_STRESS,mph_AMR,p0111_PLASMID,pap_VIR,par_AMR,pmr_AMR,qnr_AMR,sat_AMR,sat_VIR,sen_VIR,sfa_VIR,ssl_VIR,sul_AMR,tet(A)_AMR,tet(B)_AMR,ymg_STRESS,blood_META,PRJNA248737_META,PRJNA278886_META,PRJNA288601_META,PRJNA381936_META,PRJNA448593_META,PRJNA475142_META,PRJNA475751_META,PRJNA530580_META,PRJNA530794_META,PRJNA578285_META,PRJNA592372_META,PRJNA658369_META,PRJNA809394_META,PRJNA824420_META,PRJNA836696_META,aad-qac_AMR,cnf-hly_VIR,blaNDM-ble_AMR,trx-kef-psi_STRESS,agg-aar-aat_VIR,afa-nfa_VIR,time_fitness,random_fitness,Genetic,Meta,Random,Time,Genetic_MULT_FITNESS,Meta_MULT_FITNESS,Random_MULT_FITNESS,Time_MULT_FITNESS,Genetic_Meta_COV,Genetic_Random_COV,Genetic_Time_COV,Meta_Random_COV,Meta_Time_COV,Random_Time_COV,TOTAL,TOTAL_DIRECT,TOTAL_SUMMED,LINEAR_AVG_FIT,LINEAR_VAR_FIT,TOTAL_NO_COV,FRAC_GENETIC,FRAC_META,FRAC_RANDOM,FRAC_TIME
1862.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947802600551795e-06,0.0,0.0,0.0,0.0,3.9003190997832506e-07,0.0,0.0,0.0,0.0,0.0,4.380115459184259e-12,7.819730177925258e-12,0.0,0.0008098132494873146,0.0003137779977306255,0.0005726777218212473,8.68522438790085e-15,0.0006739745228305927,0.0008207301894040705,0.0,0.0,0.0,1.2495697767321863e-14,0.0,0.0,0.0,0.0,0.0003961230383313761,0.0,0.0,0.00013341254739381532,0.0003260431216973578,0.0,0.0,0.0,0.0,0.0,4.322254451894099e-07,0.0,0.0,0.0,1.0088723214437913e-11,0.0,1.1075259110345056e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72447820200375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0024651626032705393,0.0019755589268558617,4.365121677433496e-07,0.0024651626032705393,0.0,1.0716929123497552,0.9996242535041625,1.0091740974000962,0.999997900539008,-5.782056765519566e-05,0.00423351259540756,0.0,-6.520840137168852e-05,0.0,0.0,0.00855164166867482,,0.00855164166867482,0.07799391366767344,0.005701094445783213,0.0044411580422941445,0.4448296836190405,9.828791580627087e-05,0.5550720284651531,0.0
1867.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1872.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1877.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1882.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1887.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1892.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1897.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1902.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1907.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1912.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1917.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
1922.125219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.921703900827692e-06,0.0,0.0,0.0,0.0,5.850478649674876e-07,0.0,0.0,0.0,0.0,0.0,6.570173188776389e-12,1.1729595266887886e-11,0.0,0.0012147198742309719,0.0004706669965959382,0.0008590165827318709,1.3027836581851274e-14,0.001010961784245889,0.0012310952841061056,0.0,0.0,0.0,1.87435466509828e-14,0.0,0.0,0.0,0.0,0.0005941845574970641,0.0,0.0,0.00020011882109072303,0.0004890646825460367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5133084821656872e-11,0.0,1.6612888665517585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3086717303005624e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.9959043001232566e-05,0.00012137941815206773,3.450847478377098e-14,5.9959043001232566e-05,0.0,1.0449564005419312,1.0000056328410214,0.9808276094429367,0.999997900539008,4.0932229797896e-09,-0.00017061997248205607,0.0,-2.8768699125730913e-09,0.0,0.0,1.0719705058819911e-05,,1.0719705058819933e-05,0.02462013166394241,5.3598525294097405e-06,0.00018133846118780877,0.6693528629117317,1.902987074983018e-10,0.33064713689796965,0.0
